"Education","MaritalSts","Income","Kidhome","Teenhome","Recency","WineExp","FruitExp","MeatExp","FishExp","SweetExp","GoldExp","DealsPurc","WebPurc","CatalogPurc","StorePurc","WebVisits","AccCmp3","AccCmp4","AccCmp5","AccCmp1","AccCmp2","Complain","Response","Age","CustDays","TotAccCmp","TotalExp","TotalPurchases","PurchaseFrequency","PreferredProductCategory","PreferredChannel","AvgSpendPerPurchase","HasChildren","IncomeSegment","CustomerTenure","CampaignAcceptanceRate","CustomerSegment","PropensityScore","EngagementIndex"
"Graduation","Married",25721,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,49,2781,0,34,5,0.0539374325782093,"GoldExp","StorePurc",6.8,1,"Low",7.61917808219178,0,"1",0.0221703243595748,17.7238523852385
"2n Cycle","Single",88194,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,41,2479,2,1274,32,0.387252924566357,"WineExp","WebPurc",39.8125,1,"High",6.79178082191781,0.4,"2",0.807159878703802,55.7981598159816
"Master","Married",75251,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,48,3048,0,1890,19,0.187007874015748,"MeatExp","WebPurc",99.4736842105263,0,"High",8.35068493150685,0,"2",0.163458620570101,45.0713071307131
"Graduation","Single",75825,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,44,3002,1,2209,22,0.219853431045969,"WineExp","StorePurc",100.409090909091,0,"High",8.22465753424657,0.2,"2",0.742852170359042,50.0828882888289
"Graduation","Together",56046,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,55,2920,1,692,21,0.215753424657534,"WineExp","WebPurc",32.9523809523809,0,"Medium",8,0.2,"2",0.342689753299161,47.8751275127513
"Graduation","Single",50388,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,63,2409,2,372,17,0.211706102117061,"WineExp","WebPurc",21.8823529411765,1,"Medium",6.6,0.4,"3",0.842864348260234,47.0677467746775
"Graduation","Married",87195,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,61,2429,0,1097,20,0.247015232606011,"MeatExp","CatalogPurc",54.85,0,"High",6.65479452054795,0,"2",0.0423096161775604,35.0426442644264
"PhD","Single",68126,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,29,2973,1,1820,17,0.171543895055499,"WineExp","WebPurc",107.058823529412,0,"High",8.14520547945206,0.2,"2",0.687769320693293,49.7289728972897
"Graduation","Single",86037,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,29,2920,2,730,25,0.256849315068493,"WineExp","StorePurc",29.2,0,"High",8,0.4,"2",0.201502983152978,30.953895389539
"Master","Single",32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,53,2502,0,80,9,0.107913669064748,"WineExp","DealsPurc",8.88888888888889,1,"Low",6.85479452054795,0,"3",0.255732089389626,30.4316431643164
"Graduation","Single",101970,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,37,2851,3,1135,27,0.28411083830235,"WineExp","StorePurc",42.037037037037,0,"High",7.81095890410959,0.6,"2",0.661835414368766,42.6567656765677
"Graduation","Single",79607,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,36,2811,0,1923,16,0.170757737459979,"MeatExp","CatalogPurc",120.1875,0,"High",7.7013698630137,0,"2",0.333555849351226,39.36299629963
"PhD","Single",35860,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,47,2418,1,49,6,0.0744416873449132,"GoldExp","DealsPurc",8.16666666666667,1,"Low",6.62465753424657,0.2,"3",0.355137994433075,27.3073107310731
"Master","Together",65104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,44,2604,0,1053,17,0.195852534562212,"WineExp","StorePurc",61.9411764705882,1,"High",7.13424657534247,0,"2",0.163245527342925,45.5931193119312
"Graduation","Married",23957,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,45,2986,0,68,6,0.0602813127930342,"FishExp","StorePurc",11.3333333333333,1,"Low",8.18082191780822,0,"3",0.0531773629680574,23.1042704270427
"Graduation","Together",69372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,71,2872,2,1381,21,0.219359331476323,"WineExp","WebPurc",65.7619047619048,0,"High",7.86849315068493,0.4,"2",0.741723494702077,52.4638663866387
"PhD","Married",83837,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,72,2937,2,1318,25,0.255362614913177,"WineExp","CatalogPurc",52.72,0,"High",8.04657534246575,0.4,"2",0.209121774467259,39.8436443644365
"PhD","Single",46854,1,1,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,47,2467,1,263,15,0.182407782732063,"WineExp","DealsPurc",17.5333333333333,1,"Medium",6.75890410958904,0.2,"1",0.141207914897718,27.2043804380438
"PhD","Together",102160,0,0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,43,2981,3,1240,26,0.261657162026166,"WineExp","StorePurc",47.6923076923077,0,"High",8.16712328767123,0.6,"2",0.506739236150116,48.0642064206421
"Master","Single",18890,0,0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,36,2973,1,35,4,0.0403632694248234,"GoldExp","StorePurc",8.75,0,"Low",8.14520547945206,0.2,"3",0.697924843920512,33.7519751975197
"Graduation","Divorced",64497,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,66,3034,1,1804,29,0.286750164798945,"WineExp","WebPurc",62.2068965517241,1,"High",8.31232876712329,0.2,"2",0.809341758198988,58.7032503250325
"Graduation","Single",37070,1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,0,1,54,2843,0,433,23,0.242701371790362,"WineExp","DealsPurc",18.8260869565217,1,"Low",7.78904109589041,0,"2",0.252973288460342,38.1569756975698
"Graduation","Married",73687,0,0,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,0,1,30,2590,1,1627,22,0.254826254826255,"WineExp","CatalogPurc",73.9545454545455,0,"High",7.0958904109589,0.2,"2",0.546314922673962,49.9376337633763
"Graduation","Married",80134,1,0,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,0,1,48,2782,3,1690,16,0.172537742631201,"WineExp","StorePurc",105.625,1,"High",7.62191780821918,0.6,"2",0.839440705536481,51.9113911391139
"Graduation","Divorced",102692,0,0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,1,46,2827,4,1112,29,0.307746727980191,"MeatExp","StorePurc",38.3448275862069,0,"High",7.74520547945205,0.8,"2",0.97370745209946,59.6463046304631
"Graduation","Divorced",15287,1,0,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,1,41,3004,1,31,6,0.0599201065246338,"GoldExp","DealsPurc",5.16666666666667,1,"Low",8.23013698630137,0.2,"1",0.337062516869127,24.5182718271827
"Master","Together",43776,1,1,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,0,1,68,2888,0,275,17,0.176592797783934,"WineExp","DealsPurc",16.1764705882353,1,"Medium",7.91232876712329,0,"3",0.100554740585258,39.4206420642064
"PhD","Married",38097,1,1,70,77,2,35,0,1,69,4,3,2,2,7,1,0,0,0,0,0,1,50,2999,1,184,11,0.110036678892964,"WineExp","DealsPurc",16.7272727272727,1,"Low",8.21643835616438,0.2,"1",0.0768856786110178,25.9826782678268
"Graduation","Single",69267,0,0,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,0,1,67,3022,0,1635,14,0.13898080741231,"WineExp","StorePurc",116.785714285714,0,"High",8.27945205479452,0,"2",0.334234665155368,43.3848384838484
"Graduation","Single",60714,0,0,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,0,1,64,2905,0,957,23,0.237521514629948,"MeatExp","StorePurc",41.6086956521739,0,"Medium",7.95890410958904,0,"2",0.129271000616926,35.0549454945495
"PhD","Single",69867,0,0,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,0,1,34,2830,1,925,17,0.180212014134276,"MeatExp","StorePurc",54.4117647058824,0,"High",7.75342465753425,0.2,"2",0.454505166718338,36.6600660066007
"Graduation","Widow",27038,0,0,64,1,26,25,17,23,15,1,3,0,3,9,0,0,0,0,0,0,1,54,3026,0,107,7,0.069398545935228,"FruitExp","WebPurc",15.2857142857143,0,"Low",8.29041095890411,0,"1",0.10458311534376,23.4333833383338
"PhD","Married",66334,0,1,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,0,1,64,2829,0,1161,19,0.201484623541888,"WineExp","WebPurc",61.1052631578947,1,"High",7.75068493150685,0,"2",0.0241132141211713,29.6000800080008
"Master","Married",35178,1,0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,49,2912,1,59,5,0.051510989010989,"WineExp","StorePurc",11.8,1,"Low",7.97808219178082,0.2,"3",0.281545759861692,34.3865186518652
"Graduation","Divorced",75693,0,0,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,0,1,52,2947,3,1442,22,0.223956565999321,"WineExp","WebPurc",65.5454545454545,0,"High",8.07397260273973,0.6,"2",0.967094638662405,56.7349134913491
"Graduation","Together",83003,0,0,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,1,55,2860,1,1674,22,0.230769230769231,"WineExp","StorePurc",76.0909090909091,0,"High",7.83561643835616,0.2,"2",0.386668305822252,49.2897089708971
"Basic","Together",27190,1,0,13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,0,1,47,2695,1,18,4,0.0445269016697588,"MeatExp","StorePurc",4.5,1,"Low",7.38356164383562,0.2,"3",0.293910421342454,34.0011601160116
"Graduation","Divorced",84835,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,0,1,50,2390,0,1190,15,0.188284518828452,"MeatExp","StorePurc",79.3333333333333,0,"High",6.54794520547945,0,"2",0.2817223265206,40.5772577257726
"PhD","Single",69759,0,0,38,452,20,514,13,30,0,3,4,6,5,3,0,0,0,0,0,0,1,54,2621,0,1029,18,0.206028233498665,"MeatExp","CatalogPurc",57.1666666666667,0,"High",7.18082191780822,0,"2",0.165338748518443,34.9888788878888
"PhD","Single",38578,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,1,48,2749,0,73,9,0.0982175336485995,"WineExp","DealsPurc",8.11111111111111,1,"Low",7.53150684931507,0,"3",0.279418223489554,35.5984198419842
"Graduation","Single",22585,0,0,23,3,9,15,13,2,39,1,1,1,2,9,1,0,0,0,0,0,1,50,2845,1,81,5,0.0527240773286467,"GoldExp","StorePurc",16.2,0,"Low",7.79452054794521,0.2,"3",0.560502935043187,33.9345134513451
"Master","Together",43795,0,1,11,314,11,53,4,3,107,3,7,3,4,7,0,1,0,0,0,0,1,52,2633,1,492,17,0.19369540448158,"WineExp","WebPurc",28.9411764705882,1,"Medium",7.21369863013699,0.2,"3",0.352043195706292,43.0687468746875
"Graduation","Together",15345,1,0,51,5,2,16,3,2,19,2,1,1,2,8,0,0,0,0,0,0,1,36,3044,0,47,6,0.0591327201051248,"GoldExp","DealsPurc",7.83333333333333,1,"Low",8.33972602739726,0,"1",0.0590290105997592,24.1298529852985
"2n Cycle","Together",14515,1,0,71,6,4,9,6,36,35,4,2,2,3,7,0,0,0,0,0,0,1,40,2974,0,96,11,0.110961667787492,"SweetExp","DealsPurc",8.72727272727273,1,"Low",8.14794520547945,0,"1",0.0392287929475599,21.750295029503
"PhD","Single",55521,1,2,11,416,0,26,0,0,4,9,6,3,6,7,0,1,0,0,0,0,1,65,2627,1,446,24,0.274076893795204,"WineExp","DealsPurc",18.5833333333333,1,"Medium",7.1972602739726,0.2,"2",0.538056025608655,45.8862086208621
"PhD","Single",27213,1,0,19,19,3,26,10,9,3,3,2,0,4,8,0,0,0,0,0,0,1,48,3045,0,70,9,0.0886699507389163,"MeatExp","StorePurc",7.77777777777778,1,"Low",8.34246575342466,0,"3",0.256819393965804,32.1403140314031
"2n Cycle","Single",23616,1,0,76,4,22,11,3,7,32,2,3,0,3,8,0,0,0,0,0,0,1,38,2966,0,79,8,0.0809170600134862,"GoldExp","WebPurc",9.875,1,"Low",8.12602739726027,0,"1",0.0752303757457547,20.241904190419
"Graduation","Single",91065,0,0,33,822,114,108,179,137,114,1,7,9,9,3,0,0,1,1,0,0,1,39,2869,2,1474,26,0.27187173231091,"WineExp","CatalogPurc",56.6923076923077,0,"High",7.86027397260274,0.4,"2",0.760752203078614,49.8267626762676
"Master","Married",82584,0,0,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,0,1,46,2767,2,1435,16,0.173473075533068,"WineExp","StorePurc",89.6875,0,"High",7.58082191780822,0.4,"2",0.582991996753211,44.3865386538654
"PhD","Single",84865,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,0,1,59,2793,4,1688,16,0.171858216970999,"WineExp","StorePurc",105.5,0,"High",7.65205479452055,0.8,"2",0.993122480437788,61.1076707670767
"2n Cycle","Single",89572,0,0,44,606,24,974,197,194,64,1,7,7,9,4,0,1,0,1,0,0,1,54,3029,2,2059,24,0.237702211951139,"MeatExp","StorePurc",85.7916666666667,0,"High",8.2986301369863,0.4,"2",0.832286331932443,52.3291129112911
"Master","Married",42207,1,0,71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0,1,36,2831,1,265,14,0.148357470858354,"WineExp","StorePurc",18.9285714285714,1,"Medium",7.75616438356164,0.2,"1",0.0783944287064645,26.7858785878588
"Graduation","Married",60597,0,1,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,0,1,56,2556,1,893,16,0.187793427230047,"WineExp","StorePurc",55.8125,1,"Medium",7.0027397260274,0.2,"3",0.416593592041214,47.6086208620862
"PhD","Together",75261,0,0,17,1239,17,413,23,34,17,1,5,6,5,2,0,1,1,0,0,0,1,65,2809,2,1743,17,0.181559273762905,"WineExp","CatalogPurc",102.529411764706,0,"High",7.6958904109589,0.4,"2",0.755035392204505,50.0988698869887
"Graduation","Married",37406,1,0,18,2,0,8,2,2,3,1,1,0,2,8,0,0,0,0,0,0,1,40,2639,0,17,4,0.0454717696097006,"MeatExp","StorePurc",4.25,1,"Low",7.23013698630137,0,"3",0.0709868821264941,29.6498049804981
"PhD","Together",56937,1,0,81,746,8,125,11,8,8,7,8,6,9,6,0,1,0,0,0,0,1,39,3071,1,906,30,0.293064148485835,"WineExp","StorePurc",30.2,1,"Medium",8.41369863013699,0.2,"2",0.0936365049488679,37.1156315631563
"Graduation","Single",32233,1,0,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,0,1,46,3056,1,296,12,0.117801047120419,"WineExp","WebPurc",24.6666666666667,1,"Low",8.37260273972603,0.2,"3",0.554180196943641,38.2132413241324
"PhD","Divorced",78825,0,0,35,483,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,0,1,56,3030,0,895,29,0.287128712871287,"WineExp","StorePurc",30.8620689655172,0,"High",8.3013698630137,0,"2",0.120579189668142,39.5335533553355
"Graduation","Married",25545,1,0,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,1,33,3036,0,210,10,0.0988142292490119,"GoldExp","DealsPurc",21,1,"Low",8.31780821917808,0,"3",0.0887106118812155,28.4714471447145
"Graduation","Divorced",76982,0,0,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,53,2511,1,1062,16,0.19115890083632,"WineExp","WebPurc",66.375,0,"High",6.87945205479452,0.2,"2",0.479577208336889,42.5128912891289
"PhD","Married",84169,0,0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,38,2703,2,1919,20,0.221975582685905,"WineExp","WebPurc",95.95,0,"High",7.40547945205479,0.4,"2",0.812113239405706,55.4727272727273
"Graduation","Widow",85620,0,0,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,56,2550,0,1600,14,0.164705882352941,"MeatExp","CatalogPurc",114.285714285714,0,"High",6.98630136986301,0,"2",0.108923643058539,29.6328632863286
"Graduation","Married",19514,1,1,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,52,2531,1,69,10,0.118530225207428,"GoldExp","DealsPurc",6.9,1,"Low",6.93424657534247,0.2,"3",0.195495038734269,30.2637063706371
"Graduation","Single",21474,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,31,2459,1,91,8,0.0976006506710045,"GoldExp","WebPurc",11.375,1,"Low",6.73698630136986,0.2,"3",0.73587738699922,38.0238223822382
"Master","Married",81698,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,71,2612,0,1008,25,0.287136294027565,"MeatExp","StorePurc",40.32,0,"High",7.15616438356164,0,"2",0.102152974298543,42.8730473047305
"Graduation","Together",87771,0,1,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,61,2780,4,1957,20,0.215827338129496,"WineExp","CatalogPurc",97.85,1,"High",7.61643835616438,0.8,"2",0.918571288710847,54.9353335333533
"PhD","Married",61996,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,43,2891,3,1230,21,0.217917675544794,"WineExp","StorePurc",58.5714285714286,1,"Medium",7.92054794520548,0.6,"2",0.886820033012238,52.1668166816682
"Graduation","Widow",79800,0,0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,65,3021,3,1867,22,0.218470705064548,"WineExp","CatalogPurc",84.8636363636364,0,"High",8.27671232876712,0.6,"2",0.922750837318718,47.9901390139014
"PhD","Single",39684,1,0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,36,3002,0,81,7,0.0699533644237175,"MeatExp","DealsPurc",11.5714285714286,1,"Low",8.22465753424657,0,"3",0.114417093486993,25.8739073907391
"Master","Married",92163,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,45,2941,2,2086,21,0.214212852771166,"WineExp","CatalogPurc",99.3333333333333,0,"High",8.05753424657534,0.4,"2",0.724916697003648,53.0177217721772
"Master","Together",17459,1,0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,45,2660,0,69,9,0.101503759398496,"GoldExp","DealsPurc",7.66666666666667,1,"Low",7.28767123287671,0,"3",0.152649295657505,32.5465346534654
"Master","Single",21888,1,0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,34,2924,0,213,12,0.12311901504788,"WineExp","WebPurc",17.75,1,"Low",8.01095890410959,0,"3",0.373438686211062,37.444704470447
"PhD","Single",48240,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,51,2974,0,882,25,0.252185608607935,"WineExp","StorePurc",35.28,0,"Medium",8.14794520547945,0,"2",0.116966424370969,31.9356335633563
"Graduation","Together",70971,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,60,3023,0,1825,34,0.337413165729408,"WineExp","WebPurc",53.6764705882353,1,"High",8.28219178082192,0,"2",0.205709576868195,54.5867586758676
"2n Cycle","Single",32218,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,60,2511,1,93,7,0.0836320191158901,"GoldExp","StorePurc",13.2857142857143,0,"Low",6.87945205479452,0.2,"3",0.45709764569956,32.1305730573057
"Graduation","Single",83917,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,47,2814,0,1587,21,0.223880597014925,"MeatExp","CatalogPurc",75.5714285714286,0,"High",7.70958904109589,0,"2",0.364197098700687,46.0248424842484
"Master","Divorced",63120,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,70,3016,0,1477,26,0.258620689655172,"WineExp","StorePurc",56.8076923076923,1,"High",8.26301369863014,0,"2",0.21530275508017,43.1434543454345
"Master","Together",77632,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,73,2853,2,2252,13,0.136698212407992,"WineExp","StorePurc",173.230769230769,0,"High",7.81643835616438,0.4,"2",0.522298082313028,40.9992399239924
"Graduation","Together",105471,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,50,2901,2,1724,30,0.31023784901758,"WineExp","StorePurc",57.4666666666667,0,"High",7.94794520547945,0.4,"2",0.445255202685306,53.0190819081908
"PhD","Married",81300,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,57,2984,1,1241,21,0.21112600536193,"WineExp","WebPurc",59.0952380952381,1,"High",8.17534246575342,0.2,"2",0.286437148794804,47.6074807480748
"2n Cycle","Married",36145,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,35,2755,1,172,12,0.130671506352087,"MeatExp","DealsPurc",14.3333333333333,1,"Low",7.54794520547945,0.2,"3",0.312623400600207,39.8573257325733
"PhD","Single",86857,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,48,3032,0,2114,22,0.217678100263852,"WineExp","StorePurc",96.0909090909091,0,"High",8.30684931506849,0,"2",0.0912449531946926,32.6839483948395
"PhD","Divorced",50611,0,1,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,60,3010,1,493,22,0.219269102990033,"WineExp","StorePurc",22.4090909090909,1,"Medium",8.24657534246575,0.2,"1",0.103665697852701,26.7736373637364
"Master","Widow",47570,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,71,2773,0,121,9,0.0973674720519293,"WineExp","DealsPurc",13.4444444444444,1,"Medium",7.5972602739726,0,"3",0.247347641023616,34.776597659766
"PhD","Single",26518,1,1,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,71,2824,0,57,8,0.084985835694051,"MeatExp","DealsPurc",7.125,1,"Low",7.73698630136986,0,"3",0.177949822572555,28.7545154515452
"Master","Single",90247,0,0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,32,2438,3,1621,15,0.184577522559475,"WineExp","StorePurc",108.066666666667,0,"High",6.67945205479452,0.6,"2",0.940245111427865,48.5365736573657
"2n Cycle","Divorced",87305,0,0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,60,3021,1,1152,17,0.168818272095333,"MeatExp","StorePurc",67.7647058823529,0,"High",8.27671232876712,0.2,"2",0.42427286660267,41.6803080308031
"Graduation","Married",13724,1,0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,44,3074,1,71,12,0.117111255692908,"GoldExp","DealsPurc",5.91666666666667,1,"Low",8.42191780821918,0.2,"3",0.401743589363089,37.8452045204521
"Graduation","Married",72025,0,0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,71,2438,3,1677,26,0.319934372436423,"WineExp","StorePurc",64.5,0,"High",6.67945205479452,0.6,"2",0.853215568120568,51.1417541754175
"2n Cycle","Married",63564,0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,1,66,2528,1,1215,28,0.332278481012658,"WineExp","WebPurc",43.3928571428571,0,"High",6.92602739726027,0.2,"2",0.535070728117108,55.017701770177
"Graduation","Married",80952,0,0,20,778,178,689,41,27,44,1,8,5,11,8,0,1,1,1,0,0,1,51,2863,3,1757,25,0.261962975899406,"WineExp","StorePurc",70.28,0,"High",7.84383561643836,0.6,"2",0.913590424400737,62.573397339734
"PhD","Together",62220,0,1,55,799,12,375,16,12,12,5,7,6,5,6,0,0,0,0,0,0,1,48,3064,0,1226,23,0.225195822454308,"WineExp","WebPurc",53.304347826087,1,"Medium",8.39452054794521,0,"2",0.0634972913511229,38.3876587658766
"PhD","Single",31626,1,0,12,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,0,1,42,2792,1,86,6,0.0644699140401146,"WineExp","WebPurc",14.3333333333333,1,"Low",7.64931506849315,0.2,"3",0.575091421419003,34.6508850885089
"Graduation","Single",42720,1,1,9,392,5,91,28,26,112,8,7,3,7,8,0,0,0,0,0,0,1,55,2808,0,654,25,0.267094017094017,"WineExp","DealsPurc",26.16,1,"Medium",7.69315068493151,0,"2",0.40910732857755,46.0589858985899
